,Unnamed: 0,date,index,Unnamed: 0.1,cum_sum_baseline,cum_sum_realized,effective_baseline_power,new_baseline_power,total_mined_reward,effective_network_time
146,146,2021-01-17,614372.4986004198,614372.4986004198,4.116239323579963e+23,4.116223622375624e+23,3.160308098919852e+18,3.80889300267364e+18,2.5306423461789925e+25,136183.37508747377
147,147,2021-01-18,617225.4964887641,617225.4964887641,4.180584048495808e+23,4.180568324419969e+23,3.1645509023782687e+18,3.816136889304179e+18,2.5566781126499742e+25,138218.0326544944
148,148,2021-01-19,620075.5014025245,620075.5014025245,4.245777790986102e+23,4.245761943177738e+23,3.1688496888983245e+18,3.823385875800893e+18,2.5829314222667907e+25,140276.75806451612
149,149,2021-01-20,622928.5007007709,622928.5007007709,4.311622076065981e+23,4.3116062350401977e+23,3.173191371310041e+18,3.830656173581831e+18,2.609361432410711e+25,142353.19411352486
150,150,2021-01-21,625786.5027952481,625786.5027952481,4.377926863357995e+23,4.377910998116948e+23,3.1775634186099564e+18,3.837936787018845e+18,2.635607128911353e+25,144441.28441649195
151,151,2021-01-22,628644.9975481611,628644.9975481611,4.444547165965231e+23,4.4445313412659085e+23,3.181956270559707e+18,3.8452327489688494e+18,2.6620941647027173e+25,146536.41891418563
152,152,2021-01-23,631504.5031424582,631504.5031424582,4.511871118287394e+23,4.511855279697944e+23,3.1863955202125783e+18,3.8525436804071e+18,2.6888856462792994e+25,148650.74511173184
153,153,2021-01-24,634366.9989514155,634366.9989514155,4.58002334275374e+23,4.5800073901513534e+23,3.1908893850016927e+18,3.859867598557813e+18,2.7159032120956187e+25,150788.0849353373
154,154,2021-01-25,637224.9978984238,637224.9978984238,4.648903735474998e+23,4.648887962866019e+23,3.1954312642130355e+18,3.8672063933625e+18,2.7430072979650614e+25,152945.20595446584
155,155,2021-01-26,640084.5031424582,640084.5031424582,4.718305253587289e+23,4.718289220272737e+23,3.200007505722364e+18,3.8745523874801725e+18,2.7703037256325098e+25,155115.54783519552
156,156,2021-01-27,642950.0010463899,642950.0010463899,4.788401763942346e+23,4.788385764895844e+23,3.204629574072898e+18,3.881915324269616e+18,2.797680486635925e+25,157304.47471224275
157,157,2021-01-28,645813.4975524476,645813.4975524476,4.8593824227965765e+23,4.859366419294034e+23,3.2093099419703644e+18,3.8892967500765015e+18,2.8254685453976543e+25,159517.7965034965
158,158,2021-01-29,648674.0003495282,648674.0003495282,4.931162017024631e+23,4.931145970333121e+23,3.2140429905774234e+18,3.8966925975305687e+18,2.852919898801063e+25,161752.75113596645
159,159,2021-01-30,651533.4989503149,651533.4989503149,5.0035484366161336e+23,5.003532436574144e+23,3.218816052421839e+18,3.904095274864784e+18,2.8808346945332006e+25,164003.26976906927
160,160,2021-01-31,654392.5006993007,654392.5006993007,5.076644790174914e+23,5.076628643991538e+23,3.2236359263444086e+18,3.911519698830705e+18,2.90892299988861e+25,166272.47622377623
161,161,2021-02-01,657247.4964912281,657247.4964912281,5.150417126383646e+23,5.150401024831113e+23,3.228500373641545e+18,3.9189517527525934e+18,2.9367947383434487e+25,168559.2301754386
162,162,2021-02-02,660104.5048882682,660104.5048882682,5.224899458664713e+23,5.224883338601742e+23,3.23341163711196e+18,3.926396680128317e+18,2.964746023630905e+25,170864.5
163,163,2021-02-03,662964.4971988796,662964.4971988796,5.3002676586136857e+23,5.300251483710068e+23,3.2383813134889487e+18,3.933868350648488e+18,2.9931318434445684e+25,173193.6257002801
164,164,2021-02-04,665822.5013986015,665822.5013986015,5.376277280203157e+23,5.376261120657175e+23,3.243393284334648e+18,3.941343508318706e+18,3.0214791463934464e+25,175538.95664335665
165,165,2021-02-05,668678.4971949509,668678.4971949509,5.452935536087469e+23,5.452919308596304e+23,3.248448025241653e+18,3.948839548924532e+18,3.0495160727606222e+25,177900.63499298738
166,166,2021-02-06,671531.0003505083,671531.0003505083,5.530147926495982e+23,5.530131590447712e+23,3.253539305023893e+18,3.9563402449252367e+18,3.078191174855752e+25,180275.67192429025
167,167,2021-02-07,674387.5024475524,674387.5024475524,5.608240020823383e+23,5.608223670150101e+23,3.2586885912834995e+18,3.963860706022165e+18,3.1072570142791098e+25,182673.9909090909
